Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2.504,0.164,238.17,10.4,0,1,1
0.692,0,240.87,2.8,0,0,0
0.632,0.284,239.66,2.8,0,4,0
1.83,0.1,244.13,7.4,0,0,19
0.328,0.09,243.32,1.4,0,0,1
3.362,0,235.99,14.2,0,0,18
1.408,0.074,244.22,5.6,0,0,19
1.404,0.072,247.09,5.6,0,0,19
3.726,0,239.58,15.4,0,39,18
0.52,0.102,241.09,2.2,0,0,0
0.428,0.05,240.29,2,0,0,0
0.138,0,239.42,0.6,0,0,0
1.54,0.06,242.54,6.2,0,0,19
0.346,0.122,244.75,1.4,0,0,0
0.356,0.09,244.57,1.6,0,0,0
2.256,0.072,235.9,9.4,0,0,18
0.398,0.114,244.71,1.6,0,1,0
1.448,0.228,239.64,6,1,0,19
0.144,0.05,240.03,0.6,0,0,1
0.6,0.38,233.9,3,0,0,0
,,,,,,
0.218,0,246.23,0.8,0,0,0
1.302,0,241.07,5.4,0,0,18
1.598,0.186,236.22,7,0,1,23
0.382,0.224,239.39,1.8,1,0,0
1.324,0.104,239.99,5.4,0,1,19
1.484,0.202,241.4,6.2,0,0,18
1.226,0.056,242.25,5,0,0,18
1.378,0.09,242.07,5.6,0,1,18
2.27,0.058,241.97,9.4,0,0,18
1.406,0.046,240.75,5.8,0,0,18
2.404,0.132,239.21,10,0,0,18
0.26,0.122,242.04,1.2,0,0,1
3.624,0.256,236.23,15.4,37,0,0
0.106,0,239.34,0.4,0,0,0
0.22,0.152,234.77,1,0,0,0
0.588,0.216,240.11,2.6,0,0,0
0.272,0,245.73,1.2,0,0,0
0.294,0.088,241.78,1.2,0,0,0
0.436,0.214,247.06,2,0,0,0
1.594,0,238.66,6.6,0,0,18
3.708,0.376,238.99,15.6,0,37,18
2.594,0.068,236.41,11,0,0,0
4.1,0,240.88,17,0,39,18
0.174,0.102,240.28,0.8,0,0,0
1.446,0.118,242.24,6,0,0,18
0.148,0,237.13,0.6,0,0,1
1.312,0.1,238.21,5.4,0,0,18
0.284,0,244.4,1.2,1,0,0
0.41,0.158,245.62,2,0,0,0
0.32,0.05,242.33,1.4,0,0,0
0.324,0.078,244.58,1.4,0,0,1
0.9,0.236,242.58,4,0,0,0
1.426,0.046,240,6,0,0,18
1.034,0.396,240.68,4.6,0,1,12
0.23,0,248.65,1,0,0,0
1.444,0.102,243.83,5.8,0,1,19
0.416,0.208,243.51,1.8,0,0,1
1.122,0,231.09,4.8,0,0,16
0.244,0.248,239.05,1.4,0,0,0
1.986,0.112,239.7,8.6,0,28,0
2.792,0.39,238.78,11.8,0,0,19
2.17,0.234,240.57,9,0,0,18
2.7,0.374,246.59,11,0,13,1
1.378,0.078,240.23,5.6,0,2,17
1.09,0.38,238.57,4.8,0,2,1
0.24,0,243.01,1,0,0,0
2.818,0.088,237.23,11.8,0,0,17
0.698,0.058,239.92,3.2,1,0,9
1.398,0.048,238.1,5.8,0,1,18
1.256,0.052,237.44,5.2,0,0,17
1.328,0,241.06,5.4,0,0,18
0.662,0.112,241.47,2.8,0,1,0
2.42,0.168,239.33,10,2,0,18
1.128,0.392,244.78,4.8,0,0,13
0.312,0.074,238.72,1.2,0,1,1
0.386,0.058,247.18,1.8,0,0,0
0.206,0.102,240.1,1,0,0,0
0.318,0.22,242.43,1.6,0,1,1
3.4,0.296,239.74,14.4,1,0,18
1.502,0,243.46,6,0,0,19
0.818,0.342,239.28,3.8,0,1,8
2.038,0.06,241.57,8.4,1,0,19
1.412,0.08,240.4,5.8,0,0,18
0.448,0.224,242.1,2.2,0,0,0
3.228,0.256,237.42,13.6,0,0,18
0.088,0,242.29,0.4,0,0,0
0.792,0.374,241.04,3.6,0,1,1
1.304,0.092,233.39,5.6,0,2,17
3.004,0.214,240.21,12.4,0,1,18
0.16,0,243.35,0.6,0,0,0
0.272,0.19,242.47,1.4,0,1,0
1.51,0.086,243.01,6.2,0,0,19
1.536,0.194,238.18,6.6,0,0,18
0.432,0,242.3,1.8,0,0,0
3.456,0.27,237.47,14.8,0,0,17
2.498,0.36,239.96,10.4,0,0,29
1.382,0.066,236.69,5.8,1,1,18
0.298,0.11,245,1.2,0,0,0
0.754,0.236,240.13,3.6,0,0,8
,,,,,,
0.218,0,243.01,0.8,0,0,0
1.444,0.136,242.95,5.8,0,0,18
0.142,0,239.07,0.6,0,0,1
0.312,0.102,242.52,1.4,0,2,0
0.234,0.13,242.76,1,0,1,1
1.448,0.168,238.15,6,0,0,18
5.014,0.074,240.65,20.8,38,0,17
0.396,0,240.83,1.6,0,2,0
3.926,0,235.68,16.8,1,31,18
2.186,0.288,244.21,9,0,0,0
3.306,0.046,236.42,14,0,0,17
0.374,0.168,235.84,1.6,0,1,0
0.202,0.084,241.26,0.8,0,0,0
0.34,0.102,240.14,1.4,0,0,1
1.56,0,242.51,6.4,0,1,19
0.33,0.384,242.28,2,0,1,1
0.25,0.1,244.49,1,0,0,0
0.36,0.166,244.28,1.6,0,0,0
1.492,0.186,241.77,6.2,0,0,19
1.332,0.052,247.04,5.4,0,0,18
0.5,0.05,240,2.6,0,0,5
5.102,0.25,236.63,21.4,37,39,1
1.246,0.086,241.07,5.2,0,0,1
0.302,0.046,242.87,1.4,0,0,0
0.368,0.072,246.95,1.6,0,0,0
,,,,,,
0.216,0.122,238.85,1,0,0,0
1.906,0.204,233.26,8.2,1,0,17
1.458,0.226,242.69,6,0,1,18
2.062,0.106,240.26,8.6,0,0,19
0.24,0.124,239.98,1,0,0,0
0.346,0.07,239.9,1.4,0,0,0
0.714,0.05,244.78,3.2,0,0,0
0.25,0,247.31,1,0,0,0
0.308,0.048,245.82,1.4,0,0,0
2.43,0,238.11,10.2,2,0,18
4.8,0.174,235.03,20.4,38,0,16
3.726,0.08,241.72,15.4,0,40,18
0.248,0.148,241.96,1.2,0,1,0
2.348,0,243.22,9.6,0,0,0
0.332,0.098,241.44,1.4,0,0,1
1.492,0.132,244.22,6,0,0,19
0.222,0.13,242.49,1,0,1,1
0.386,0.148,243.68,1.8,0,0,1
0.136,0,239.35,0.6,0,0,0
0.144,0,243.51,0.6,0,0,1
3.278,0,238.5,13.8,1,0,18
0.35,0.106,240.24,1.4,0,0,0
0.428,0.058,241.15,2,0,0,0
4.372,0.812,240.37,18.4,39,1,18
1.764,0.126,240.47,7.2,0,0,18
0.376,0.098,243.87,1.6,0,0,0
0.25,0.12,244.32,1.2,0,1,1
1.464,0,246.22,5.8,0,0,18
0.34,0.1,239.63,1.4,0,0,1
0.13,0,240.53,0.6,0,0,1
0.674,0.142,243.12,3,0,0,0
1.188,0,236.91,5,0,0,17
0.998,0.23,238.23,4.2,0,0,12
0.298,0,245.76,1.2,0,0,0
0.344,0.242,241.6,1.6,0,2,1
0.256,0.054,237.97,1.2,0,0,0
1.786,0.084,241.08,7.4,0,2,19
0.158,0.13,243.72,0.8,0,0,1
0.36,0.116,246.13,1.6,0,0,0
0.792,0.118,240.49,3.4,0,0,1
3.848,0.05,235.27,16.4,37,0,0
0.216,0.1,240.08,1,0,0,1
4.302,0.466,237.62,18.2,39,0,18
2.638,0.352,239.59,11,0,0,0
1.28,0.066,238.07,5.4,0,0,17
0.252,0.084,242.5,1,0,0,1
0.394,0.234,242.22,1.8,0,0,0
3.6,0.06,236.12,15.2,37,0,18
0.268,0.082,244.06,1.2,0,0,1
1.26,0.066,239.93,5.2,0,0,17
0.34,0.054,241.97,1.4,0,0,0
0.282,0.096,243.21,1.2,0,0,0
0.152,0,242.08,0.6,0,0,1
0.488,0.32,240.62,2.4,0,2,0
1.272,0,239.69,5.2,0,0,18
,,,,,,
3.192,0.086,234.07,13.8,0,32,17
1.838,0.354,240.64,8,1,1,7
0.368,0,249.22,1.6,0,0,0
0.226,0,245.19,0.8,0,0,1
0.274,0.088,234.68,1.2,0,1,1
0.348,0.064,243.51,1.4,0,0,0
0.12,0,239.01,0.6,0,0,0
0.208,0.052,240.26,1,0,0,1
1.702,0.058,242.26,7,0,0,19
0.2,0.05,240.85,0.8,0,0,0
1.116,0,233.43,4.8,0,0,17
0.24,0.242,240.7,1.4,0,2,1
3.162,0.434,233.9,13.6,0,0,0
0.396,0.082,242.88,1.8,0,0,0
1.262,0.31,239.81,5.4,0,0,1
0.366,0.114,238.38,1.6,2,0,0
0.148,0,239.5,0.6,0,0,1
2.16,0.096,234.75,9.2,0,0,16
0.22,0.052,244.64,1,0,0,0
0.346,0.272,240.78,1.8,0,1,0
2.756,0.374,243.68,11.4,0,0,18
0.336,0,238.84,1.4,0,0,0
0.192,0,238.75,1,0,0,0
0.234,0.122,244.59,1,0,0,0
1.756,0.098,243.9,7.2,0,1,19
0.268,0,241.97,1,0,0,1
0.48,0.084,238.51,2.2,0,0,0
1.938,0.264,238.37,8.2,0,2,1
0.802,0.336,243,3.6,0,1,1
0.206,0.102,240.6,1,0,0,0
1.364,0,239.26,5.6,0,0,19
0.344,0.134,244.11,1.4,0,0,1
1.318,0.17,240.53,5.4,0,2,0
0.344,0.056,242.25,1.4,0,1,1
0.224,0.046,240.47,0.8,0,0,0
0.216,0.102,235.99,1,0,0,0
0.38,0.126,244.02,1.6,0,0,1
0.736,0.31,242.42,3.2,0,1,1
0.394,0.214,238.67,1.8,0,0,0
0.34,0.072,246.58,1.4,0,0,0
0.482,0.318,241.36,2.4,0,1,1
0.236,0.128,239.97,1,0,0,1
0.254,0,241.13,1,0,0,0
0.214,0,241.04,1.2,0,0,0
3.046,0,236.55,12.8,0,0,17
3.03,0.114,236.65,12.8,0,0,17
1.334,0,238.9,5.6,0,0,18
0.264,0.122,242.56,1.2,0,0,1
1.552,0.306,236.65,6.6,0,0,18
1.216,0,240.33,5,0,0,18
0.384,0.198,240.07,1.8,0,0,0
0.272,0.056,243.55,1.2,0,0,0
0.216,0.048,238.93,0.8,0,0,1
0.45,0.198,240.19,2.2,0,1,0
1.728,0.178,243.6,7.2,0,0,18
1.894,0.304,235.56,8.4,1,0,17
0.348,0,239.45,1.8,0,0,1
0.394,0.108,239.84,1.8,0,0,0
0.26,0,243.77,1.2,0,0,1
0.28,0.06,240.76,1.2,0,0,0
0.374,0.192,238.19,1.8,0,2,0
,,,,,,
2.034,0.242,236.15,8.6,0,1,28
0.352,0.25,243.99,1.8,0,0,1
0.352,0.126,246.37,1.4,0,2,1
1.7,0.244,234.84,7.4,1,2,0
2.058,0.346,238.89,8.6,0,1,1
1.346,0.062,239.84,5.6,0,0,17
0.27,0,242.3,1.2,0,0,1
0.698,0.072,242.98,2.8,0,1,0
0.21,0.124,241.35,1,0,2,1
1.458,0,240.06,6.2,0,0,4
2.774,0.23,242.3,11.4,38,2,1
0.216,0,239.19,0.8,0,0,0
0.3,0,246.6,1.4,0,0,1
0.248,0.058,239.08,1,0,0,1
5.046,0.392,235.89,21.4,0,74,0
3.224,0.318,237.21,14,0,38,0
0.37,0.118,244.33,1.6,0,0,1
0.376,0.276,238.5,2,0,1,1
0.21,0.122,238.65,1,0,0,0
1.348,0.09,238.68,5.6,0,0,17
1.554,0,245.42,6.2,0,0,18
1.052,0,247.81,4.2,0,0,0
0.376,0.134,245.23,1.6,0,0,0
0.436,0.282,247.44,2,0,1,1
1.552,0.222,248.87,6.2,0,1,20
0.122,0,240.71,0.6,0,0,0
0.638,0.104,241.27,2.6,0,1,0
1.732,0.178,242.59,7.2,0,0,18
2.112,0.07,237.5,8.8,0,0,18
1.868,0.216,241.81,7.8,0,3,18
1.784,0.362,241.97,7.4,0,0,18
0.23,0.056,240.46,1,0,0,1
1.684,0.078,244.52,6.8,0,0,18
1.344,0.074,239.02,5.6,0,0,17
0.654,0,240.67,2.6,0,0,1
0.42,0,239.82,1.8,0,0,1
0.548,0.378,237.2,2.8,0,0,0
0.25,0.116,242.01,1,0,0,1
1.512,0.32,238.45,6.4,0,2,17
1.658,0.118,242.76,6.8,0,0,19
0.532,0.162,237.92,2.4,0,0,0
0.42,0.23,244.48,1.8,0,1,1
0.294,0.078,242.59,1.2,0,0,1
0.102,0,236.84,0.4,0,0,0
2.664,0.152,238.51,11.2,0,38,0
0.314,0.102,246.59,1.2,0,0,0
0.348,0.048,248.46,1.4,0,0,0
3.176,0.396,236.12,13.6,0,0,17
0.332,0.21,239.64,1.6,0,1,0
0.26,0.046,242.44,1.2,0,0,0
0.306,0.09,244.87,1.2,0,2,0
2.008,0.116,237.89,8.4,0,0,18
0.17,0,238.62,0.8,0,0,0
1.88,0.124,235.45,8,1,0,17
0.2,0.112,241.58,1,0,1,0
1.59,0.256,232.41,6.8,0,1,17
0.178,0,241.63,0.8,0,0,0
0.424,0.048,241.98,1.8,0,0,0
2.5,0.084,239.11,10.6,0,0,0
0.256,0,246.49,1,0,0,0
0.414,0.214,241.12,1.8,0,0,1
1.574,0.052,239.64,6.6,0,2,18
3.048,0.176,238.74,12.8,0,1,18
0.406,0.258,245.67,1.8,0,1,1
0.33,0.214,234.16,1.6,0,0,0
0.238,0,246.44,1,0,0,0
4.446,0.058,238.56,18.6,38,1,0
1.496,0.148,237.99,6.2,0,0,17
0.658,0.404,236.97,3.2,0,2,0
1.792,0.136,238.82,7.4,0,0,0
0.228,0,242.93,1,0,0,0
0.334,0.088,241.16,1.4,0,2,0
0.45,0.062,243.17,2,0,0,1
,,,,,,
6.044,0.078,239.19,25.2,0,0,17
0.326,0.262,243.37,1.6,0,1,0
0.478,0,241.05,2,0,0,0
0.458,0.328,239.56,2.2,0,1,0
0.352,0.218,238.21,1.8,0,1,1
0.214,0,244.71,0.8,0,0,0
1.43,0,238.42,6,0,0,18
0.324,0.098,243.57,1.4,0,0,0
0.354,0.214,240.32,1.6,0,2,0
0.21,0,241.73,1,0,0,0
1.41,0.226,238.9,6,0,2,18
1.412,0.074,240.47,5.8,0,0,19
1.532,0.13,240.34,7,0,0,1
2.848,0,238.3,12.2,0,27,17
1.492,0.202,243.13,6.2,0,1,19
5.9,0,234.29,25.2,38,37,17
0.81,0.134,241.5,3.4,0,0,12
1.172,0.08,238.64,4.8,0,0,0
0.188,0.114,239.87,0.8,0,1,0
1.426,0.17,236.82,6,0,0,18
0.316,0.112,242.89,1.4,0,0,1
4.06,0.166,233.02,17.4,36,0,17
0.644,0,244.46,2.6,0,0,1
0.23,0,241.12,1.2,0,0,1
1.364,0.06,241.7,5.6,1,0,1
1.366,0.298,235.56,5.8,0,19,0
0.278,0.08,245.88,1.2,0,0,0
2.18,0.064,238.93,9,0,1,18
1.284,0,238.51,5.4,0,0,17
0.316,0.228,241.08,1.6,0,1,1
1.924,0.272,240.21,8,0,0,19
0.082,0,242.71,0.2,0,0,1
0.252,0.05,245.72,1,0,0,1
0.298,0.224,242.66,1.4,0,0,1
5.024,0,238.25,21.4,0,36,17
0.978,0.178,244.07,4.2,0,0,0
0.32,0.086,245.1,1.4,0,0,0
3.602,0.086,235.07,15.4,0,1,17
0.358,0.098,245.57,1.6,0,0,0
1.486,0.22,239.7,6.2,0,0,18
1.256,0.074,229.67,5.4,0,0,16
1.442,0.146,236.09,6,0,0,17
0.354,0,244.56,1.4,0,0,1
1.46,0.34,241,6.2,0,1,19
0.264,0,247.27,1,0,0,0
,,,,,,
2.024,0.282,237.89,8.8,0,1,0
2.022,0,241.15,9.4,0,0,19
0.25,0.112,239.01,1,0,0,1
1.336,0.12,241.14,5.4,0,2,18
1.504,0.224,243.69,6.2,0,2,19
1.9,0.08,242.38,7.8,0,0,18
2.216,0.416,238.58,9.4,0,0,18
0.302,0.05,242.02,1.2,0,2,0
0.236,0.11,241.48,1,0,0,1
0.22,0,245.15,0.8,0,0,0
0.102,0,235.86,0.4,0,0,0
0.212,0.104,240.61,1,0,2,0
1.396,0,241.02,5.8,0,0,19
4.104,0.336,235.65,17.4,37,0,18
1.378,0.13,243.35,5.6,0,1,18
0.784,0.14,238.57,3.2,0,5,0
0.344,0.274,241.09,1.8,0,1,1
2.22,0.06,236.42,9.4,0,0,17
0.314,0.098,242.39,1.2,0,0,1
0.178,0.154,241.55,0.8,0,0,0
1.362,0,244.13,5.6,0,0,18
1.664,0.09,238.06,7,0,1,18
0.966,0.066,242.09,4,0,0,1
0.304,0.108,241.55,1.2,0,2,0
0.398,0.146,250,1.6,0,1,1
1.474,0.112,245.18,6,0,0,19
0.236,0.048,244.63,1,0,0,0
0.08,0,239.38,0.2,0,0,1
2.812,0.096,235.14,12,1,0,17
1.808,0,239.6,7.4,0,0,18
0.866,0.094,244.82,3.6,0,0,0
0.272,0,241.36,1.4,0,0,0
1.034,0.298,240.02,4.6,0,1,1
0.34,0,246.19,1.6,0,0,1
0.436,0.248,244.22,2.2,0,0,0
1.542,0.136,244.26,6.2,0,0,18
1.138,0.164,244.47,5,0,0,14
0.32,0.068,241.06,1.4,0,1,1
0.21,0.05,244.05,0.8,0,0,0
0.254,0,241.84,1,0,0,1
0.318,0.108,243.59,1.4,0,0,1
0.314,0.2,240.49,1.6,0,1,0
0.866,0.158,238.65,3.6,0,0,10
0.226,0,246.13,1,0,0,0
0.61,0,242.51,2.4,0,0,0
1.62,0.308,242.05,6.8,0,1,19
1.828,0.176,241.8,7.6,0,2,1
0.62,0,239.44,2.6,0,1,0
0.368,0.16,239.48,1.6,0,1,0
1.318,0.126,240.44,5.4,0,0,18
1.366,0.252,240.15,5.8,0,1,1
0.302,0.07,240.07,1.2,0,0,0
0.324,0.112,240.82,1.4,0,0,0
1.372,0.102,239.39,5.6,0,0,17
3.868,0.182,235.17,16.4,36,1,18
0.268,0,241.86,1.2,0,0,1
0.322,0.118,243.93,1.4,0,0,0
0.402,0.206,243.76,1.8,0,1,1
0.17,0,241.75,0.8,0,0,1
0.288,0.242,242.72,1.4,0,0,0
0.23,0.142,244.86,1,0,0,1
0.782,0,243.06,3.2,1,1,1
1.98,0,241.45,8.2,0,0,18
0.246,0.088,240.71,1,0,0,1
0.13,0,243.85,0.6,0,0,1
0.552,0.242,241.34,2.8,0,0,6
0.308,0.206,237.83,1.4,0,0,1
1.602,0.046,245.43,6.4,0,0,0
0.24,0.132,240.77,1,0,0,1
0.166,0.102,240.8,0.8,0,0,0
0.208,0.076,237.67,1,0,0,0
0.16,0,239.33,0.8,0,0,0
3.996,0.606,236.92,17,0,1,17
0.194,0.07,242.29,0.8,0,0,0
0.312,0.238,242.02,1.6,0,0,0
2.706,0,241.88,11.4,0,0,19
2.77,0.088,239.74,11.4,0,0,18
1.562,0,240.43,6.4,0,0,17
0.34,0.116,242.66,1.4,0,0,1
1.35,0,244.88,5.4,0,0,19
1.526,0.082,237.89,6.4,0,0,17
0.346,0.108,241.3,1.4,0,0,1
1.582,0.106,236.7,6.6,0,0,17
2.74,0,238.85,11.4,0,0,18
1.306,0.174,239.53,5.4,0,0,18
1.37,0.068,237.02,5.8,0,0,18
1.472,0.158,239.82,6,0,1,18
0.416,0.114,247.04,1.8,0,0,0
2.902,0,230.94,12.6,0,0,0
1.098,0.046,239.99,4.6,0,0,1
1.908,0.278,235.31,8.2,0,2,0
0.208,0.058,241.74,1,0,0,0
1.77,0.108,235.91,7.4,0,0,18
2.144,0.392,240.02,9,0,1,30
1.852,0.13,242.06,7.6,0,0,18
0.222,0.074,238.51,1,0,0,1
2.632,0.134,238.47,11,0,0,18
4.848,0.244,234.25,20.6,37,2,17
1.48,0.1,242.71,6,0,0,19
5.55,0.418,233.22,23.8,37,6,17
1.304,0.076,237,5.4,0,0,18
1.55,0,236.69,6.4,2,0,17
0.346,0.108,241.03,1.4,0,0,0
5.146,0.134,236.58,21.6,0,35,0
0.384,0,245.01,1.6,0,0,0
1.426,0.068,240.71,5.8,0,0,18
1.442,0.096,240.37,6,0,0,0
2.61,0.06,237.5,11,0,0,17
0.25,0,239.82,1,0,0,0
0.25,0,243.55,1,0,0,1
0.314,0,243.46,1.4,0,0,0
0.14,0,242.02,0.6,0,0,1
0.778,0.09,239.13,3.4,0,0,0
1.55,0,239.88,6.4,1,0,1
0.296,0.214,239.76,1.4,0,2,0
0.306,0,242.3,1.2,0,0,0
0.304,0.098,239.15,1.2,0,0,0
3.358,0.202,235.41,14.4,0,1,0
2.568,0.23,237.44,10.8,0,0,17
1.662,0.046,238.27,7,0,0,18
1.328,0.39,246.5,5.6,0,0,11
0.208,0.092,241.56,0.8,0,0,1
1.458,0.062,242.97,6,0,0,19
0.392,0.196,241.6,1.8,0,0,0
0.316,0.094,242.62,1.4,0,0,0
0.392,0.104,246.35,1.8,0,0,1
0.972,0.048,238.72,4,0,0,0
,,,,,,
0.41,0.112,238.01,1.8,0,0,0
,,,,,,
0.37,0.244,239.81,1.8,0,1,0
0.196,0.048,241.38,1,0,0,0
0.438,0.286,244.05,2,0,1,0
0.328,0.198,241.76,1.6,0,1,1
0.356,0.092,238.38,1.6,0,0,1
0.312,0.23,242.32,1.6,0,0,1
2.01,0.06,244.59,8.2,0,0,0
4.164,0.088,237,17.6,0,2,17
0.366,0.15,243.9,1.6,0,1,0
0.496,0.216,239.76,2.2,0,1,1
0.136,0,241.18,0.6,0,0,0
5.824,0.098,238.48,24.4,1,0,18
0.302,0,243.08,1.6,0,0,2
1.374,0.068,243.37,5.6,0,0,0
5.622,0.394,235.83,24,38,28,1
3.884,0.296,236.7,16.4,38,0,17
0.482,0.054,240.29,2.2,0,0,1
2.23,0.356,239.29,9.4,0,1,29
1.538,0.068,239.39,6.4,0,1,18
3.86,0.208,234.67,16.4,37,0,18
0.242,0,242.3,1,0,0,1
0.444,0.296,242.82,2.2,0,0,0
0.244,0,242.67,1,0,0,0
0.606,0.38,242.34,3.2,0,0,0
0.234,0.13,243.8,1,0,2,0
0.152,0,239.77,0.6,0,0,1
1.114,0.088,237.82,4.8,0,0,0
5.972,0.096,231.49,25.8,8,34,17
1.324,0,241.77,5.4,0,0,18
2.504,0.064,238.55,10.4,1,0,18
2.802,0.056,237.24,11.8,0,0,17
0.23,0.082,239.75,1,0,1,0
0.88,0.11,239.92,3.6,0,0,1
0.304,0,252.15,1.2,0,0,0
1.726,0,238.35,7.4,0,0,0
0.218,0,242.2,0.8,0,0,0
0.314,0.124,238.46,1.4,0,0,0
0.332,0.24,239.37,1.8,0,0,0
0.288,0.224,234.75,1.6,0,1,0
1.038,0,240.78,4.4,0,0,0
0.764,0.224,238.98,3.2,0,0,11
2.476,0.07,234.61,10.6,0,1,17
1.262,0.108,242.23,5.2,0,0,0
1.608,0.214,246.17,6.6,0,0,18
0.218,0,239.1,1,0,0,0
5.948,0.258,235.82,25.2,0,74,18
0.24,0,249.09,1,0,0,0
1.296,0.052,243.92,6,0,0,1
0.216,0,245.9,0.8,0,0,0
1.788,0.26,239.63,7.4,0,2,18
1.416,0.07,243.58,5.8,0,0,18
0.454,0.258,241.33,2,0,0,0
0.078,0,238.3,0.2,0,0,0
2.78,0.132,240.49,11.4,0,1,18
0.33,0,242.98,1.4,0,0,0
2.99,0,227.19,13.2,0,0,0
0.254,0.046,246.41,1,0,0,0
0.442,0.132,242.55,2,0,0,1
1.778,0.134,238.85,7.4,0,0,0
3.462,0.196,239.13,14.4,39,0,0
0.25,0,243.47,1,0,0,0
3.048,0,239.41,12.6,1,0,18
0.276,0.232,240.84,1.4,0,0,0
0.108,0,239.08,0.8,0,0,1
0.294,0,241.72,1.2,0,0,0
0.14,0,239.23,0.6,0,0,1
0.21,0.052,244.02,0.8,0,0,0
0.404,0.1,241.42,1.8,0,0,1
1.612,0.072,240.96,6.8,0,0,18
0.288,0,242.74,1.2,0,0,0
0.31,0.086,244.48,1.4,0,1,0
0.892,0.29,241.33,3.8,0,0,11
0.276,0.128,244.98,1.2,0,0,0
1.376,0,244.68,5.6,1,0,0
1.62,0.082,239.64,6.8,0,0,18
1.394,0.186,240.62,5.8,0,1,19
0.418,0.246,246.15,2,0,1,1
1.47,0,240.05,6,0,0,19
0.296,0.094,242.73,1.2,0,1,0
1.514,0.316,241,6.4,0,2,18
1.478,0.226,241.02,6.2,0,0,17
0.332,0.056,243.97,1.4,0,0,0
0.29,0.076,244.08,1.2,0,0,1
